No configs found; falling back on auto-configuration
Creating temp directory /tmp/mrjob_knn.abhishek.20170316.153037.702160
Running step 1 of 2...
[0, 0] 1 0
[1, 1] 1 1
[10, 0] 0 0
[100, 1] 1 1
[101, 0] 1 0
[102, 0] 1 0
[103, 1] 1 1
[104, 1] 1 1
[105, 0] 0 0
[106, 1] 1 1
[107, 1] 1 1
[108, 0] 1 0
[109, 0] 1 0
[11, 0] 0 0
[110, 0] 1 0
[111, 1] 1 1
[112, 0] 0 0
[113, 0] 1 0
[114, 0] 1 0
[115, 0] 1 0
[116, 0] 1 0
[117, 1] 0 1
[118, 0] 1 0
[119, 0] 0 0
[12, 1] 1 1
[120, 1] 0 1
[121, 0] 1 0
[122, 1] 0 1
[123, 0] 1 0
[124, 1] 1 1
[125, 1] 1 1
[126, 0] 1 0
[127, 1] 1 1
[128, 0] 1 0
[129, 0] 1 0
[13, 0] 1 0
[130, 0] 1 0
[131, 1] 0 1
[132, 0] 1 0
[133, 0] 1 0
[134, 0] 0 0
[135, 0] 1 0
[136, 0] 1 0
[137, 0] 1 0
[138, 1] 1 1
[139, 0] 0 0
[14, 1] 0 1
[140, 0] 0 0
[141, 1] 0 1
[142, 0] 1 0
[143, 0] 1 0
[144, 0] 0 0
[145, 0] 0 0
[146, 0] 0 0
[147, 0] 1 0
[148, 0] 1 0
[149, 0] 1 0
[15, 1] 1 1
[150, 1] 1 1
[151, 0] 0 0
[152, 0] 0 0
[153, 0] 1 0
[154, 0] 0 0
[155, 1] 1 1
[156, 1] 1 1
[157, 1] 1 1
[158, 0] 0 0
[159, 0] 0 0
[16, 0] 1 0
[160, 1] 1 1
[161, 1] 1 1
[162, 1] 1 1
[163, 0] 1 0
[164, 0] 1 0
[165, 1] 1 1
[166, 0] 1 0
[167, 0] 0 0
[168, 1] 0 1
[169, 1] 0 1
[17, 0] 1 0
[170, 0] 1 0
[171, 0] 1 0
[172, 0] 1 0
[173, 0] 1 0
[174, 0] 0 0
[175, 1] 0 1
[176, 1] 0 1
[177, 1] 1 1
[178, 1] 0 1
[179, 1] 1 1
[18, 0] 0 0
[180, 0] 1 0
[181, 0] 0 0
[182, 1] 0 1
[183, 0] 1 0
[184, 1] 1 1
[185, 0] 1 0
[186, 1] 0 1
[187, 0] 0 0
[188, 0] 0 0
[189, 0] 1 0
[19, 1] 1 1
[190, 0] 0 0
[191, 1] 1 1
[192, 0] 0 0
[193, 0] 1 0
[194, 1] 0 1
[195, 0] 1 0
[196, 1] 0 1
[197, 1] 1 1
[198, 0] 0 0
[199, 0] 1 0
[2, 0] 1 0
[20, 0] 1 0
[200, 1] 1 1
[201, 0] 1 0
[202, 0] 1 0
[203, 1] 1 1
[204, 0] 0 0
[205, 1] 0 1
[206, 0] 1 0
[207, 1] 1 1
[208, 1] 0 1
[209, 0] 0 0
[21, 1] 0 1
[210, 0] 0 0
[211, 1] 1 1
[212, 0] 0 0
[213, 0] 0 0
[214, 0] 1 0
[215, 0] 0 0
[216, 0] 1 0
[217, 0] 0 0
[218, 1] 1 1
[219, 0] 1 0
[22, 1] 0 1
[220, 1] 0 1
[221, 0] 1 0
[222, 1] 0 1
[223, 1] 1 1
[224, 1] 1 1
[225, 1] 1 1
[226, 1] 1 1
[227, 0] 1 0
[228, 0] 1 0
[229, 0] 1 0
[23, 1] 1 1
[230, 0] 0 0
[231, 1] 0 1
[232, 0] 1 0
[233, 0] 1 0
[234, 0] 0 0
[235, 0] 1 0
[236, 0] 0 0
[237, 0] 1 0
[238, 0] 1 0
[239, 1] 0 1
[24, 1] 1 1
[240, 1] 0 1
[241, 1] 0 1
[242, 1] 0 1
[243, 1] 1 1
[244, 0] 0 0
[245, 0] 0 0
[246, 0] 0 0
[247, 0] 0 0
[248, 1] 0 1
[249, 0] 1 0
[25, 0] 0 0
[250, 1] 0 1
[251, 1] 0 1
[252, 0] 0 0
[253, 0] 1 0
[254, 0] 0 0
[255, 0] 0 0
[256, 0] 0 0
[257, 0] 1 0
[258, 1] 1 1
[259, 1] 1 1
[26, 1] 0 1
[260, 1] 1 1
[261, 0] 1 0
[262, 1] 1 1
[263, 0] 1 0
[264, 1] 0 1
[265, 0] 0 0
[266, 0] 1 0
[267, 0] 0 0
[268, 1] 0 1
[269, 0] 1 0
[27, 0] 1 0
[270, 0] 0 0
[271, 0] 1 0
[272, 1] 0 1
[273, 0] 1 0
[274, 0] 1 0
[275, 1] 0 1
[276, 0] 0 0
[277, 0] 0 0
[278, 0] 0 0
[279, 1] 0 1
[28, 0] 0 0
[280, 0] 1 0
[281, 0] 0 0
[282, 0] 1 0
[283, 1] 1 1
[284, 0] 1 0
[285, 0] 1 0
[286, 0] 0 0
[287, 1] 0 1
[288, 0] 1 0
[289, 0] 0 0
[29, 0] 1 0
[290, 1] 0 1
[291, 1] 1 1
[292, 0] 1 0
[293, 1] 0 1
[294, 0] 0 0
[295, 0] 0 0
[296, 1] 0 1
[297, 0] 1 0
[298, 0] 0 0
[299, 0] 1 0
[3, 0] 1 0
[30, 0] 0 0
[300, 1] 1 1
[301, 0] 1 0
[302, 0] 0 0
[303, 0] 1 0
[304, 1] 1 1
[305, 1] 0 1
[306, 0] 0 0
[307, 1] 1 1
[308, 0] 0 0
[309, 1] 1 1
[31, 0] 0 0
[310, 0] 1 0
[311, 1] 1 1
[312, 0] 0 0
[313, 0] 1 0
[314, 1] 0 1
[315, 0] 0 0
[316, 0] 0 0
[317, 0] 1 0
[318, 0] 1 0
[319, 0] 0 0
[32, 1] 0 1
[320, 0] 1 0
[321, 1] 1 1
[322, 0] 1 0
[323, 0] 0 0
[324, 1] 0 1
[325, 0] 0 0
[326, 1] 0 1
[327, 0] 0 0
[328, 0] 0 0
[329, 0] 1 0
[33, 0] 0 0
[330, 1] 0 1
[331, 0] 0 0
[332, 0] 1 0
[333, 1] 1 1
[334, 0] 0 0
[335, 0] 0 0
[336, 0] 1 0
[337, 0] 1 0
[338, 0] 0 0
[339, 0] 1 0
[34, 1] 0 1
[340, 0] 0 0
[341, 1] 1 1
[342, 0] 0 0
[343, 1] 1 1
[344, 0] 0 0
[345, 1] 1 1
[346, 0] 1 0
[347, 1] 1 1
[348, 0] 1 0
[349, 1] 0 1
[35, 0] 1 0
[350, 1] 0 1
[351, 0] 0 0
[352, 0] 0 0
[353, 0] 0 0
[354, 1] 0 1
[355, 0] 0 0
[356, 1] 1 1
[357, 0] 1 0
[358, 1] 1 1
[359, 0] 1 0
[36, 1] 1 1
[360, 0] 0 0
[361, 1] 0 1
[362, 1] 0 1
[363, 0] 1 0
[364, 1] 1 1
[365, 0] 0 0
[366, 0] 1 0
[367, 0] 0 0
[368, 1] 0 1
[369, 1] 0 1
[37, 0] 1 0
[370, 0] 1 0
[371, 1] 0 1
[372, 1] 1 1
[373, 0] 1 0
[374, 1] 0 1
[375, 1] 0 1
[376, 0] 1 0
[377, 0] 1 0
[378, 0] 0 0
[379, 0] 0 0
[38, 1] 0 1
[380, 0] 1 0
[381, 0] 1 0
[382, 0] 1 0
[383, 0] 1 0
[384, 0] 0 0
[385, 1] 0 1
[386, 0] 1 0
[387, 0] 1 0
[388, 0] 1 0
[389, 0] 1 0
[39, 1] 0 1
[390, 0] 0 0
[391, 1] 0 1
[392, 0] 0 0
[393, 0] 0 0
[394, 1] 0 1
[395, 1] 0 1
[396, 0] 1 0
[397, 1] 0 1
[398, 0] 1 0
[399, 0] 1 0
[4, 1] 1 1
[40, 1] 1 1
[400, 1] 0 1
[401, 0] 0 0
[402, 1] 0 1
[403, 0] 0 0
[404, 1] 0 1
[405, 1] 0 1
[406, 0] 1 0
[407, 0] 0 0
[408, 1] 1 1
[409, 0] 0 0
[41, 0] 1 0
[410, 0] 1 0
[411, 1] 0 1
[412, 0] 1 0
[413, 0] 0 0
[414, 1] 0 1
[415, 0] 0 0
[416, 0] 1 0
[417, 1] 1 1
[42, 0] 0 0
[43, 0] 1 0
[44, 1] 0 1
[45, 0] 0 0
[46, 1] 1 1
[47, 0] 1 0
[48, 1] 1 1
[49, 1] 0 1
[5, 1] 0 1
[50, 0] 0 0
[51, 0] 1 0
[52, 1] 1 1
[53, 1] 0 1
[54, 0] 1 0
[55, 0] 1 0
[56, 0] 0 0
[57, 1] 1 1
[58, 0] 1 0
[59, 1] 1 1
[6, 0] 1 0
[60, 0] 0 0
[61, 0] 1 0
[62, 0] 1 0
[63, 1] 1 1
[64, 1] 1 1
[65, 0] 0 0
[66, 0] 1 0
[67, 0] 0 0
[68, 1] 1 1
[69, 1] 0 1
[7, 1] 1 1
[70, 1] 1 1
[71, 0] 0 0
[72, 0] 1 0
[73, 0] 0 0
[74, 1] 1 1
[75, 0] 0 0
[76, 0] 1 0
[77, 1] 1 1
